method,date,hhi,effective_n,max_weight
A_no_kappa,2020-01-31,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2020-02-28,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2020-03-31,0.38173560062007694,2.61961419992172,0.578479053207391
A_no_kappa,2020-04-30,0.34388967759356537,2.907909324285898,0.4131744311111674
A_no_kappa,2020-05-29,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2020-06-30,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2020-07-31,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2020-08-31,0.3257316256374391,3.0700120015766177,0.5156305381324516
A_no_kappa,2020-09-30,0.38032412686061623,2.629336214492873,0.5747608888296697
A_no_kappa,2020-10-30,0.39633501022369394,2.5231180042247434,0.5747608861310572
A_no_kappa,2020-11-30,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2020-12-31,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2021-01-29,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2021-02-26,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2021-03-31,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2021-04-30,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2021-05-28,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2021-06-30,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2021-07-30,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2021-08-31,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2021-09-30,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2021-10-29,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2021-11-30,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2021-12-31,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2022-01-31,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2022-02-28,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2022-03-31,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2022-04-29,0.0779456980698219,12.829444405055218,0.22341309397395634
A_no_kappa,2022-05-31,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2022-06-30,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2022-07-29,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2022-08-31,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2022-09-30,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2022-10-31,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2022-11-30,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2022-12-30,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2023-01-31,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2023-02-28,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2023-03-31,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2023-04-28,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2023-05-31,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2023-06-30,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2023-07-31,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2023-08-31,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2023-09-29,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2023-10-31,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2023-11-30,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2023-12-29,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2024-01-31,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2024-02-29,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2024-03-28,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2024-04-30,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2024-05-31,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2024-06-28,0.05225706580111216,19.13616818452745,0.1102143310648731
A_no_kappa,2024-07-31,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2024-08-30,0.06956970039340588,14.374073689338246,0.1858428613473162
A_no_kappa,2024-09-30,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2024-10-31,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2024-11-29,0.009999999999999995,100.00000000000006,0.01
A_no_kappa,2024-12-31,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2020-01-31,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2020-02-28,0.14332138801616004,6.977325672336121,0.24330294618520626
B_fixed_kappa,2020-03-31,0.263905447345028,3.7892359178649597,0.32036890569196774
B_fixed_kappa,2020-04-30,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2020-05-29,0.2644154777702847,3.7819268691553924,0.3326065979251613
B_fixed_kappa,2020-06-30,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2020-07-31,0.24262825102796381,4.121531584896708,0.36969312511412517
B_fixed_kappa,2020-08-31,0.24969057097456357,4.004956999765409,0.3694148640795222
B_fixed_kappa,2020-09-30,0.25147071682107874,3.9766061537554664,0.369694517714988
B_fixed_kappa,2020-10-30,0.2120569664946559,4.715713973137502,0.2980872566217277
B_fixed_kappa,2020-11-30,0.22585664650973594,4.427587212745113,0.2884537793461163
B_fixed_kappa,2020-12-31,0.18945518935043215,5.278293001255914,0.25772552083007116
B_fixed_kappa,2021-01-29,0.21496840763318664,4.651846338771599,0.2773515411024014
B_fixed_kappa,2021-02-26,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2021-03-31,0.21575651526089995,4.634854242017984,0.3260552764813367
B_fixed_kappa,2021-04-30,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2021-05-28,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2021-06-30,0.10485505888574292,9.536974282658758,0.2430246234479796
B_fixed_kappa,2021-07-30,0.16229076339964274,6.161780122615415,0.3332748682273485
B_fixed_kappa,2021-08-31,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2021-09-30,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2021-10-29,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2021-11-30,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2021-12-31,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2022-01-31,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2022-02-28,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2022-03-31,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2022-04-29,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2022-05-31,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2022-06-30,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2022-07-29,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2022-08-31,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2022-09-30,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2022-10-31,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2022-11-30,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2022-12-30,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2023-01-31,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2023-02-28,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2023-03-31,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2023-04-28,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2023-05-31,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2023-06-30,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2023-07-31,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2023-08-31,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2023-09-29,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2023-10-31,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2023-11-30,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2023-12-29,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2024-01-31,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2024-02-29,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2024-03-28,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2024-04-30,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2024-05-31,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2024-06-28,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2024-07-31,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2024-08-30,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2024-09-30,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2024-10-31,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2024-11-29,0.009999999999999995,100.00000000000006,0.01
B_fixed_kappa,2024-12-31,0.009999999999999995,100.00000000000006,0.01
C_manual_kappa,2020-01-31,0.009999999999999995,100.00000000000006,0.01
C_manual_kappa,2020-02-28,0.009999999999999995,100.00000000000006,0.01
C_manual_kappa,2020-03-31,0.21736461015092748,4.600564918574594,0.30661505928811544
C_manual_kappa,2020-04-30,0.009999999999999995,100.00000000000006,0.01
C_manual_kappa,2020-05-29,0.23117073014197378,4.325807161598048,0.3370016862876082
C_manual_kappa,2020-06-30,0.009999999999999995,100.00000000000006,0.01
C_manual_kappa,2020-07-31,0.2263596819070403,4.4177478585195775,0.3025246466976077
C_manual_kappa,2020-08-31,0.009999999999999995,100.00000000000006,0.01
C_manual_kappa,2020-09-30,0.2200864635162475,4.543668810990626,0.29834605947958037
C_manual_kappa,2020-10-30,0.22273811526021775,4.4895773623285455,0.29789844610281246
C_manual_kappa,2020-11-30,0.23037918019475073,4.3406700169461985,0.36834346669326695
C_manual_kappa,2020-12-31,0.009999999999999995,100.00000000000006,0.01
C_manual_kappa,2021-01-29,0.2200864635162475,4.543668810990626,0.29834605947958037
C_manual_kappa,2021-02-26,0.3789055025812042,2.6391804636980365,0.5171395159222264
C_manual_kappa,2021-03-31,0.2741688334169467,3.6473875879219055,0.40264099636477285
C_manual_kappa,2021-04-30,0.2675935884852941,3.737010313514878,0.40282310578466646
C_manual_kappa,2021-05-28,0.25762606922294456,3.8815947586989714,0.4061564551172712
C_manual_kappa,2021-06-30,0.1973241304116044,5.0678039118382,0.376014214989191
C_manual_kappa,2021-07-30,0.009999999999999995,100.00000000000006,0.01
C_manual_kappa,2021-08-31,0.1757061405218618,5.691320730339402,0.3687549458167489
C_manual_kappa,2021-09-30,0.09367721911488558,10.674953947699938,0.144652406313578
C_manual_kappa,2021-10-29,0.009999999999999995,100.00000000000006,0.01
C_manual_kappa,2021-11-30,0.07375588909877161,13.558239378835646,0.16326303587915672
C_manual_kappa,2021-12-31,0.009999999999999995,100.00000000000006,0.01
C_manual_kappa,2022-01-31,0.009999999999999995,100.00000000000006,0.01
C_manual_kappa,2022-02-28,0.009999999999999995,100.00000000000006,0.01
C_manual_kappa,2022-03-31,0.009999999999999995,100.00000000000006,0.01
C_manual_kappa,2022-04-29,0.009999999999999995,100.00000000000006,0.01
C_manual_kappa,2022-05-31,0.009999999999999995,100.00000000000006,0.01
C_manual_kappa,2022-06-30,0.009999999999999995,100.00000000000006,0.01
C_manual_kappa,2022-07-29,0.009999999999999995,100.00000000000006,0.01
C_manual_kappa,2022-08-31,0.009999999999999995,100.00000000000006,0.01
C_manual_kappa,2022-09-30,0.009999999999999995,100.00000000000006,0.01
C_manual_kappa,2022-10-31,0.10581618390893015,9.450350249453733,0.25499381798033394
C_manual_kappa,2022-11-30,0.009999999999999995,100.00000000000006,0.01
C_manual_kappa,2022-12-30,0.009999999999999995,100.00000000000006,0.01
C_manual_kappa,2023-01-31,0.009999999999999995,100.00000000000006,0.01
C_manual_kappa,2023-02-28,0.009999999999999995,100.00000000000006,0.01
C_manual_kappa,2023-03-31,0.1372041004272149,7.288411912517788,0.26023614020298386
C_manual_kappa,2023-04-28,0.13510332863132116,7.401742134191717,0.23612529487077155
C_manual_kappa,2023-05-31,0.009999999999999995,100.00000000000006,0.01
C_manual_kappa,2023-06-30,0.009999999999999995,100.00000000000006,0.01
C_manual_kappa,2023-07-31,0.07158365737034114,13.969669010154885,0.19165426426750995
C_manual_kappa,2023-08-31,0.009999999999999995,100.00000000000006,0.01
C_manual_kappa,2023-09-29,0.009999999999999995,100.00000000000006,0.01
C_manual_kappa,2023-10-31,0.009999999999999995,100.00000000000006,0.01
C_manual_kappa,2023-11-30,0.009999999999999995,100.00000000000006,0.01
C_manual_kappa,2023-12-29,0.009999999999999995,100.00000000000006,0.01
C_manual_kappa,2024-01-31,0.009999999999999995,100.00000000000006,0.01
C_manual_kappa,2024-02-29,0.009999999999999995,100.00000000000006,0.01
C_manual_kappa,2024-03-28,0.009999999999999995,100.00000000000006,0.01
C_manual_kappa,2024-04-30,0.009999999999999995,100.00000000000006,0.01
C_manual_kappa,2024-05-31,0.009999999999999995,100.00000000000006,0.01
C_manual_kappa,2024-06-28,0.009999999999999995,100.00000000000006,0.01
C_manual_kappa,2024-07-31,0.009999999999999995,100.00000000000006,0.01
C_manual_kappa,2024-08-30,0.009999999999999995,100.00000000000006,0.01
C_manual_kappa,2024-09-30,0.009999999999999995,100.00000000000006,0.01
C_manual_kappa,2024-10-31,0.009999999999999995,100.00000000000006,0.01
C_manual_kappa,2024-11-29,0.009999999999999995,100.00000000000006,0.01
C_manual_kappa,2024-12-31,0.009999999999999995,100.00000000000006,0.01
D_state_action,2020-01-31,0.009999999999999995,100.00000000000006,0.01
D_state_action,2020-02-28,0.009999999999999995,100.00000000000006,0.01
D_state_action,2020-03-31,0.262073202182785,3.815727787774891,0.4038847498517076
D_state_action,2020-04-30,0.009999999999999995,100.00000000000006,0.01
D_state_action,2020-05-29,0.25186348072755155,3.970404907894252,0.33243484084275243
D_state_action,2020-06-30,0.5320922810543676,1.8793732508550016,0.6807820350682079
D_state_action,2020-07-31,0.009999999999999995,100.00000000000006,0.01
D_state_action,2020-08-31,0.24120880153229482,4.145785699557537,0.3248607189689299
D_state_action,2020-09-30,0.5315045926585635,1.881451287180873,0.6802890703725513
D_state_action,2020-10-30,0.009999999999999995,100.00000000000006,0.01
D_state_action,2020-11-30,0.24120880153229482,4.145785699557537,0.3248607189689299
D_state_action,2020-12-31,0.5315045926585635,1.881451287180873,0.6802890703725513
D_state_action,2021-01-29,0.43126214011537123,2.3187753038847325,0.6136006910897296
D_state_action,2021-02-26,0.5075738334044456,1.9701567224076715,0.6571785038166504
D_state_action,2021-03-31,0.009999999999999995,100.00000000000006,0.01
D_state_action,2021-04-30,0.17336275767113624,5.768251575098782,0.26341383110389516
D_state_action,2021-05-28,0.009999999999999995,100.00000000000006,0.01
D_state_action,2021-06-30,0.009999999999999995,100.00000000000006,0.01
D_state_action,2021-07-30,0.009999999999999995,100.00000000000006,0.01
D_state_action,2021-08-31,0.009999999999999995,100.00000000000006,0.01
D_state_action,2021-09-30,0.009999999999999995,100.00000000000006,0.01
D_state_action,2021-10-29,0.050949763556747504,19.62717646150029,0.14904925635676583
D_state_action,2021-11-30,0.009999999999999995,100.00000000000006,0.01
D_state_action,2021-12-31,0.05198863813800229,19.23497202110834,0.16378517703489506
D_state_action,2022-01-31,0.009999999999999995,100.00000000000006,0.01
D_state_action,2022-02-28,0.009999999999999995,100.00000000000006,0.01
D_state_action,2022-03-31,0.009999999999999995,100.00000000000006,0.01
D_state_action,2022-04-29,0.009999999999999995,100.00000000000006,0.01
D_state_action,2022-05-31,0.009999999999999995,100.00000000000006,0.01
D_state_action,2022-06-30,0.009999999999999995,100.00000000000006,0.01
D_state_action,2022-07-29,0.009999999999999995,100.00000000000006,0.01
D_state_action,2022-08-31,0.009999999999999995,100.00000000000006,0.01
D_state_action,2022-09-30,0.009999999999999995,100.00000000000006,0.01
D_state_action,2022-10-31,0.009999999999999995,100.00000000000006,0.01
D_state_action,2022-11-30,0.009999999999999995,100.00000000000006,0.01
D_state_action,2022-12-30,0.009999999999999995,100.00000000000006,0.01
D_state_action,2023-01-31,0.009999999999999995,100.00000000000006,0.01
D_state_action,2023-02-28,0.009999999999999995,100.00000000000006,0.01
D_state_action,2023-03-31,0.009999999999999995,100.00000000000006,0.01
D_state_action,2023-04-28,0.009999999999999995,100.00000000000006,0.01
D_state_action,2023-05-31,0.009999999999999995,100.00000000000006,0.01
D_state_action,2023-06-30,0.009999999999999995,100.00000000000006,0.01
D_state_action,2023-07-31,0.009999999999999995,100.00000000000006,0.01
D_state_action,2023-08-31,0.009999999999999995,100.00000000000006,0.01
D_state_action,2023-09-29,0.009999999999999995,100.00000000000006,0.01
D_state_action,2023-10-31,0.009999999999999995,100.00000000000006,0.01
D_state_action,2023-11-30,0.009999999999999995,100.00000000000006,0.01
D_state_action,2023-12-29,0.009999999999999995,100.00000000000006,0.01
D_state_action,2024-01-31,0.009999999999999995,100.00000000000006,0.01
D_state_action,2024-02-29,0.009999999999999995,100.00000000000006,0.01
D_state_action,2024-03-28,0.009999999999999995,100.00000000000006,0.01
D_state_action,2024-04-30,0.009999999999999995,100.00000000000006,0.01
D_state_action,2024-05-31,0.009999999999999995,100.00000000000006,0.01
D_state_action,2024-06-28,0.04929510126335504,20.285991394105917,0.11464820888808326
D_state_action,2024-07-31,0.009999999999999995,100.00000000000006,0.01
D_state_action,2024-08-30,0.009999999999999995,100.00000000000006,0.01
D_state_action,2024-09-30,0.009999999999999995,100.00000000000006,0.01
D_state_action,2024-10-31,0.009999999999999995,100.00000000000006,0.01
D_state_action,2024-11-29,0.009999999999999995,100.00000000000006,0.01
D_state_action,2024-12-31,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2020-01-31,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2020-02-28,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2020-03-31,0.38173560062007694,2.61961419992172,0.578479053207391
Historical_CVaR,2020-04-30,0.34388967759356537,2.907909324285898,0.4131744311111674
Historical_CVaR,2020-05-29,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2020-06-30,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2020-07-31,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2020-08-31,0.3257316256374391,3.0700120015766177,0.5156305381324516
Historical_CVaR,2020-09-30,0.38032412686061623,2.629336214492873,0.5747608888296697
Historical_CVaR,2020-10-30,0.39633501022369394,2.5231180042247434,0.5747608861310572
Historical_CVaR,2020-11-30,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2020-12-31,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2021-01-29,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2021-02-26,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2021-03-31,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2021-04-30,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2021-05-28,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2021-06-30,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2021-07-30,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2021-08-31,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2021-09-30,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2021-10-29,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2021-11-30,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2021-12-31,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2022-01-31,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2022-02-28,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2022-03-31,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2022-04-29,0.0779456980698219,12.829444405055218,0.22341309397395634
Historical_CVaR,2022-05-31,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2022-06-30,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2022-07-29,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2022-08-31,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2022-09-30,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2022-10-31,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2022-11-30,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2022-12-30,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2023-01-31,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2023-02-28,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2023-03-31,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2023-04-28,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2023-05-31,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2023-06-30,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2023-07-31,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2023-08-31,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2023-09-29,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2023-10-31,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2023-11-30,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2023-12-29,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2024-01-31,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2024-02-29,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2024-03-28,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2024-04-30,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2024-05-31,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2024-06-28,0.05225706580111216,19.13616818452745,0.1102143310648731
Historical_CVaR,2024-07-31,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2024-08-30,0.06956970039340588,14.374073689338246,0.1858428613473162
Historical_CVaR,2024-09-30,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2024-10-31,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2024-11-29,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2024-12-31,0.009999999999999995,100.00000000000006,0.01
