annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,var_5pct,cvar_5pct,avg_turnover,total_transaction_cost,calmar_ratio,method,group,crisis_2020,crisis_2022,universe_id,corr_group,avg_corr_val
0.046907528250686115,0.2154094640105126,0.21775982994134785,0.28796783044642027,0.2729368033874604,0.01545356543804868,0.0282822322193251,0.02546875210424023,0.0,0.17186223209369206,A_ceil_CVaR,equity_v6,0.06909644654827318,0.1444322552621935,192,low,0.2725064294251852
0.16271287496971132,0.47902071082351344,0.33967816274578566,1.064424246896862,0.29635045631147794,0.0168806708193766,0.028364270756929447,0.026583286285625538,0.0,0.5490555911231417,B_fixed_kappa,equity_v6,0.10050335567239954,0.1701363943204689,192,low,0.2725064294251852
0.07310312844819045,0.2185672820756127,0.33446510270874225,0.45736402126496273,0.24017289516374374,0.01704772213185055,0.028703011966022,0.02265901470500188,0.0,0.3043770963344994,C_default,equity_v6,0.0572233170784292,0.12813363015668167,192,low,0.2725064294251852
0.10351456468833131,0.29811941568195416,0.3472251696573994,0.6745199659446833,0.28970943899708157,0.014904260313564054,0.027006028087995872,0.012087450585054943,0.0,0.35730477076162537,C_stable,equity_v6,0.05405586226646952,0.15552920399874048,192,low,0.2725064294251852
0.023266066743662606,0.1865891700286176,0.12469141022543932,0.16063740574894808,0.33551573885056385,0.015932295759635087,0.02644210496146015,0.02451956140345487,0.0,0.06934418881024575,A_ceil_CVaR,equity_v6,0.040192603746531,0.025993533697541427,215,low,0.2833736103902859
0.024876344892113433,0.19434460408673865,0.12800121212015117,0.15587694367323093,0.3398882970117255,0.01665617510911037,0.028782159214114048,0.026521373180529714,0.0,0.07318976590492977,B_fixed_kappa,equity_v6,0.13655461012249648,0.09357214356125387,215,low,0.2833736103902859
0.02844881267292232,0.19168603563908979,0.14841358984796524,0.1909930252073779,0.3342542548577645,0.01657435850906155,0.02765047646928716,0.027936348529038726,0.0,0.08511129554664358,C_default,equity_v6,0.0447576686364658,0.14937285505034748,215,low,0.2833736103902859
0.018615885983017222,0.18566625657386723,0.10026531652298866,0.12568995776456784,0.330834344200995,0.01603722339772685,0.027422482123728106,0.012626832211775085,0.0,0.05626950862062656,C_stable,equity_v6,0.11003313303678786,0.02290581141645176,215,low,0.2833736103902859
0.08960593123036364,0.22018877812875434,0.4069504903559027,0.5689666476147521,0.3539303428191176,0.015485591425273861,0.028497764964724732,0.027315794326621214,0.0,0.2531739169821852,A_ceil_CVaR,equity_v6,0.16158452994965178,0.04459670130193283,68,low,0.2840844666567549
0.07308401239639695,0.22346778911906542,0.32704495213606466,0.47103789783165795,0.34294823104699945,0.016143828214711838,0.02927201149583097,0.01831815629923165,0.0,0.21310508636617265,B_fixed_kappa,equity_v6,0.13781000473119442,0.09748655572814535,68,low,0.2840844666567549
0.07681683108130688,0.2203341316211785,0.34863790968790265,0.4990952660150909,0.35064096328667316,0.01553952883149799,0.028232542758364253,0.02625489921007537,0.0,0.21907546215159074,C_default,equity_v6,0.13605570791243682,0.06109783217502274,68,low,0.2840844666567549
0.08059352716897861,0.2216430698586313,0.3636185296494173,0.5208267409449263,0.35324615382756885,0.016033096999487337,0.028310571550230007,0.02340545973896556,0.0,0.22815118097030712,C_stable,equity_v6,0.14697927450944526,0.010242852695916072,68,low,0.2840844666567549
0.04706150455539704,0.18754919843014983,0.25092884933296294,0.3125460565556548,0.2377303248304361,0.015566791551118056,0.027180005512576287,0.02699198428850784,0.0,0.19796172233796508,A_ceil_CVaR,equity_v6,0.10453339538598694,0.05099861511103443,251,mid,0.3339391250910632
0.08899421863300239,0.18813052148964843,0.47304508555194297,0.6061277328928744,0.2396339543260615,0.016527803059610695,0.026821599978708515,0.026585331728645675,0.0,0.3713756628658353,B_fixed_kappa,equity_v6,0.1039954541954008,0.048078846116468954,251,mid,0.3339391250910632
0.09102727823304946,0.18932287385110558,0.48080443942890155,0.6113775599757578,0.23913033192754707,0.016928258364401785,0.02720913847603422,0.024159482067019903,0.0,0.380659690886179,C_default,equity_v6,0.10748681385665193,0.06296274677756553,251,mid,0.3339391250910632
0.07179006345805816,0.18769341853095614,0.38248577930940014,0.4582117971026006,0.28760713613686806,0.015570633146483019,0.027943546269356693,0.009270957828009038,0.0,0.24961155144597774,C_stable,equity_v6,0.1113504873908241,0.0204530113329906,251,mid,0.3339391250910632
0.03871430184483349,0.18191977279129837,0.2128097526223674,0.25858199028807427,0.2576783619107883,0.015597675867980871,0.027058706979867498,0.024857548631853597,0.0,0.15024273500402371,A_ceil_CVaR,equity_v6,0.06497642968676998,0.04628310650572365,244,mid,0.333969314097956
0.0927277860592306,0.20171973917636732,0.4596862282186324,0.5557587694009428,0.32169574698300607,0.01692153053580197,0.02959819175826158,0.03159453049193048,0.0,0.2882468510350839,B_fixed_kappa,equity_v6,0.13224974319772265,0.03816535472213556,244,mid,0.333969314097956
0.08691455340054222,0.19885409683434294,0.4370770066303794,0.5253503138584013,0.32077797097168614,0.015075184782606233,0.028888022184210778,0.03132542695268972,0.0,0.27094925857054514,C_default,equity_v6,0.10811207317969895,0.038165354722136,244,mid,0.333969314097956
0.07473347612719405,0.1770210092400464,0.42217291861585177,0.5040242559904775,0.25607939021291903,0.01476527449091728,0.026399329859990824,0.009640359819923339,0.0,0.2918371371669402,C_stable,equity_v6,0.06938731076713944,0.0337201022353788,244,mid,0.333969314097956
-0.005647903204407001,0.1966317262682928,-0.028723254947682034,-0.03671889181019246,0.3659615015697758,0.017093936056327728,0.02866617322594335,0.023101385297559437,0.0,-0.015433052876274056,A_ceil_CVaR,equity_v6,0.10884522945008812,0.08481088211962329,44,mid,0.3340996774221855
-0.019309050432882557,0.19839699231210417,-0.09732531833197813,-0.12665412154790437,0.3425381218570218,0.017552771297956963,0.028713613362948667,0.02504787028036804,0.0,-0.05637051528221525,B_fixed_kappa,equity_v6,0.0731558395213533,0.10441073015889879,44,mid,0.3340996774221855
-0.009269725483799118,0.19344081713705188,-0.04792021467336732,-0.06293659186518528,0.3353733874457492,0.01698855028885816,0.0275858298066136,0.021903071128689226,0.0,-0.027640015072151816,C_default,equity_v6,0.05666700483470155,0.04693005682810325,44,mid,0.3340996774221855
0.024569331220215096,0.18575176259713388,0.13226970703638533,0.16586051181229408,0.34252892845730554,0.015341205844592535,0.027405904643337486,0.010190680139258492,0.0,0.07172921519613354,C_stable,equity_v6,0.0692312984974709,0.023587444640991162,44,mid,0.3340996774221855
0.033143634104740416,0.19151471484037771,0.17306050938365092,0.2140027426887338,0.34696143048775197,0.01598076232887483,0.028324367406147563,0.020810281246276423,0.0,0.0955254134678535,A_ceil_CVaR,equity_v6,0.2019458994137413,0.07191877584657735,239,high,0.3910495935197156
0.04703068477407424,0.19249862253864272,0.24431699382489433,0.3050189276034924,0.34366993736175255,0.01605468689786264,0.02813503705038547,0.0233477506490971,0.0,0.13684841081857263,B_fixed_kappa,equity_v6,0.16286849742376408,0.07136902804818057,239,high,0.3910495935197156
0.03672336925046826,0.19312943237943658,0.19014900420935724,0.23221667086326853,0.3262355118439815,0.015524395360639046,0.027825166405906317,0.018477912289992397,0.0,0.11256705023587625,C_default,equity_v6,0.14665778275361074,0.08305409706163802,239,high,0.3910495935197156
0.07106743425881423,0.18175827652765228,0.39099971465674743,0.47586189161756615,0.3248140576598313,0.014631811970959712,0.027148393416569133,0.010218091375278068,0.0,0.21879420727917256,C_stable,equity_v6,0.13972446679141948,0.04791134813326692,239,high,0.3910495935197156
0.04152529513776915,0.19616711082880858,0.21168326822128458,0.2530294405306036,0.2725972396106058,0.015486207320503135,0.02858605358268133,0.02982340848989963,0.0,0.15233204561090335,A_ceil_CVaR,equity_v6,0.04434424373751811,0.13191887932197333,255,high,0.3914196749948427
0.05794282842181975,0.1935404880877016,0.299383498483084,0.39143634075401923,0.27251269198070704,0.01638651904606611,0.028226321825880595,0.02674711239348755,0.0,0.21262432953369342,B_fixed_kappa,equity_v6,0.046478448256052185,0.23120159445282307,255,high,0.3914196749948427
0.034723988226369906,0.19134658091911805,0.18147169423971934,0.23818776966342423,0.2600902303716248,0.016868064855113656,0.02742752644541034,0.033739193248058415,0.0,0.1335074684533718,C_default,equity_v6,0.02416779261021751,0.12547626493672637,255,high,0.3914196749948427
0.0346512078222434,0.18400842281882224,0.18831316138371318,0.2282625218756691,0.2723344414520109,0.014541877013393835,0.026846441889952288,0.011330148664780491,0.0,0.12723769948998326,C_stable,equity_v6,0.05594399463491351,0.049529501634926976,255,high,0.3914196749948427
-0.019062529055800415,0.1862065075250286,-0.10237305510516682,-0.13422053173232384,0.34202248511628597,0.01607063547546632,0.028135818018158325,0.025255762182957175,0.0,-0.055734724719397465,A_ceil_CVaR,equity_v6,0.12113925341717491,0.06678408715582151,267,high,0.393535493659981
0.049208834066886364,0.19363088862383313,0.2541373146434524,0.3445761666153246,0.32113854616477644,0.01667498260163791,0.027890213752565406,0.020286173427729082,0.0,0.15323241216156366,B_fixed_kappa,equity_v6,0.07668231467700626,0.03330653416854146,267,high,0.393535493659981
-0.00560082384546523,0.20223924101146906,-0.027694050953976857,-0.033580644428595124,0.3844538910752391,0.01647740317613544,0.029152575316079544,0.028393390724177115,0.0,-0.014568258965466234,C_default,equity_v6,0.1580548834905342,0.017507419562314608,267,high,0.393535493659981
0.039647747761487384,0.17719154198558887,0.22375643508261792,0.2850741985285741,0.3183588929539757,0.01523074822970949,0.025982616036724346,0.011254192356082555,0.0,0.12453789932992121,C_stable,equity_v6,0.08537523457235452,0.01898555743524699,267,high,0.393535493659981
