date,model,tail_jaccard,tail_size
2020-01-31,A_ceil_CVaR,,13
2020-02-28,A_ceil_CVaR,0.0,13
2020-03-31,A_ceil_CVaR,0.04,13
2020-04-30,A_ceil_CVaR,0.08333333333333333,13
2020-05-29,A_ceil_CVaR,0.04,13
2020-06-30,A_ceil_CVaR,0.0,13
2020-07-31,A_ceil_CVaR,0.0,13
2020-08-31,A_ceil_CVaR,0.04,13
2020-09-30,A_ceil_CVaR,0.04,13
2020-10-30,A_ceil_CVaR,0.0,13
2020-11-30,A_ceil_CVaR,0.04,13
2020-12-31,A_ceil_CVaR,0.0,13
2021-01-29,A_ceil_CVaR,0.04,13
2021-02-26,A_ceil_CVaR,0.04,13
2021-03-31,A_ceil_CVaR,0.08333333333333333,13
2021-04-30,A_ceil_CVaR,0.08333333333333333,13
2021-05-28,A_ceil_CVaR,0.0,13
2021-06-30,A_ceil_CVaR,0.0,13
2021-07-30,A_ceil_CVaR,0.04,13
2021-08-31,A_ceil_CVaR,0.0,13
2021-09-30,A_ceil_CVaR,0.0,13
2021-10-29,A_ceil_CVaR,0.08333333333333333,13
2021-11-30,A_ceil_CVaR,0.04,13
2021-12-31,A_ceil_CVaR,0.04,13
2022-01-31,A_ceil_CVaR,0.08333333333333333,13
2022-02-28,A_ceil_CVaR,0.08333333333333333,13
2022-03-31,A_ceil_CVaR,0.0,13
2022-04-29,A_ceil_CVaR,0.0,13
2022-05-31,A_ceil_CVaR,0.0,13
2022-06-30,A_ceil_CVaR,0.04,13
2022-07-29,A_ceil_CVaR,0.04,13
2022-08-31,A_ceil_CVaR,0.08333333333333333,13
2022-09-30,A_ceil_CVaR,0.0,13
2022-10-31,A_ceil_CVaR,0.0,13
2022-11-30,A_ceil_CVaR,0.0,13
2022-12-30,A_ceil_CVaR,0.04,13
2023-01-31,A_ceil_CVaR,0.04,13
2023-02-28,A_ceil_CVaR,0.0,13
2023-03-31,A_ceil_CVaR,0.04,13
2023-04-28,A_ceil_CVaR,0.0,13
2023-05-31,A_ceil_CVaR,0.04,13
2023-06-30,A_ceil_CVaR,0.0,13
2023-07-31,A_ceil_CVaR,0.0,13
2023-08-31,A_ceil_CVaR,0.04,13
2023-09-29,A_ceil_CVaR,0.0,13
2023-10-31,A_ceil_CVaR,0.04,13
2023-11-30,A_ceil_CVaR,0.08333333333333333,13
2023-12-29,A_ceil_CVaR,0.0,13
2024-01-31,A_ceil_CVaR,0.04,13
2024-02-29,A_ceil_CVaR,0.0,13
2024-03-28,A_ceil_CVaR,0.0,13
2024-04-30,A_ceil_CVaR,0.04,13
2024-05-31,A_ceil_CVaR,0.04,13
2024-06-28,A_ceil_CVaR,0.04,13
2024-07-31,A_ceil_CVaR,0.0,13
2024-08-30,A_ceil_CVaR,0.0,13
2024-09-30,A_ceil_CVaR,0.04,13
2024-10-31,A_ceil_CVaR,0.04,13
2024-11-29,A_ceil_CVaR,0.04,13
2024-12-31,A_ceil_CVaR,0.04,13
2020-01-31,B_fixed_kappa,,13
2020-02-28,B_fixed_kappa,0.08333333333333333,13
2020-03-31,B_fixed_kappa,0.0,13
2020-04-30,B_fixed_kappa,0.04,13
2020-05-29,B_fixed_kappa,0.04,13
2020-06-30,B_fixed_kappa,0.04,13
2020-07-31,B_fixed_kappa,0.0,13
2020-08-31,B_fixed_kappa,0.04,13
2020-09-30,B_fixed_kappa,0.08333333333333333,13
2020-10-30,B_fixed_kappa,0.04,13
2020-11-30,B_fixed_kappa,0.04,13
2020-12-31,B_fixed_kappa,0.04,13
2021-01-29,B_fixed_kappa,0.0,13
2021-02-26,B_fixed_kappa,0.04,13
2021-03-31,B_fixed_kappa,0.04,13
2021-04-30,B_fixed_kappa,0.0,13
2021-05-28,B_fixed_kappa,0.04,13
2021-06-30,B_fixed_kappa,0.0,13
2021-07-30,B_fixed_kappa,0.0,13
2021-08-31,B_fixed_kappa,0.04,13
2021-09-30,B_fixed_kappa,0.0,13
2021-10-29,B_fixed_kappa,0.08333333333333333,13
2021-11-30,B_fixed_kappa,0.13043478260869565,13
2021-12-31,B_fixed_kappa,0.0,13
2022-01-31,B_fixed_kappa,0.13043478260869565,13
2022-02-28,B_fixed_kappa,0.04,13
2022-03-31,B_fixed_kappa,0.04,13
2022-04-29,B_fixed_kappa,0.04,13
2022-05-31,B_fixed_kappa,0.0,13
2022-06-30,B_fixed_kappa,0.0,13
2022-07-29,B_fixed_kappa,0.04,13
2022-08-31,B_fixed_kappa,0.04,13
2022-09-30,B_fixed_kappa,0.0,13
2022-10-31,B_fixed_kappa,0.0,13
2022-11-30,B_fixed_kappa,0.0,13
2022-12-30,B_fixed_kappa,0.0,13
2023-01-31,B_fixed_kappa,0.04,13
2023-02-28,B_fixed_kappa,0.0,13
2023-03-31,B_fixed_kappa,0.04,13
2023-04-28,B_fixed_kappa,0.0,13
2023-05-31,B_fixed_kappa,0.04,13
2023-06-30,B_fixed_kappa,0.0,13
2023-07-31,B_fixed_kappa,0.0,13
2023-08-31,B_fixed_kappa,0.13043478260869565,13
2023-09-29,B_fixed_kappa,0.0,13
2023-10-31,B_fixed_kappa,0.04,13
2023-11-30,B_fixed_kappa,0.08333333333333333,13
2023-12-29,B_fixed_kappa,0.0,13
2024-01-31,B_fixed_kappa,0.04,13
2024-02-29,B_fixed_kappa,0.0,13
2024-03-28,B_fixed_kappa,0.0,13
2024-04-30,B_fixed_kappa,0.0,13
2024-05-31,B_fixed_kappa,0.0,13
2024-06-28,B_fixed_kappa,0.04,13
2024-07-31,B_fixed_kappa,0.0,13
2024-08-30,B_fixed_kappa,0.0,13
2024-09-30,B_fixed_kappa,0.04,13
2024-10-31,B_fixed_kappa,0.04,13
2024-11-29,B_fixed_kappa,0.08333333333333333,13
2024-12-31,B_fixed_kappa,0.04,13
2020-01-31,C_default,,13
2020-02-28,C_default,0.04,13
2020-03-31,C_default,0.0,13
2020-04-30,C_default,0.13043478260869565,13
2020-05-29,C_default,0.08333333333333333,13
2020-06-30,C_default,0.0,13
2020-07-31,C_default,0.0,13
2020-08-31,C_default,0.08333333333333333,13
2020-09-30,C_default,0.08333333333333333,13
2020-10-30,C_default,0.04,13
2020-11-30,C_default,0.04,13
2020-12-31,C_default,0.0,13
2021-01-29,C_default,0.0,13
2021-02-26,C_default,0.0,13
2021-03-31,C_default,0.04,13
2021-04-30,C_default,0.0,13
2021-05-28,C_default,0.04,13
2021-06-30,C_default,0.04,13
2021-07-30,C_default,0.04,13
2021-08-31,C_default,0.0,13
2021-09-30,C_default,0.0,13
2021-10-29,C_default,0.08333333333333333,13
2021-11-30,C_default,0.04,13
2021-12-31,C_default,0.04,13
2022-01-31,C_default,0.13043478260869565,13
2022-02-28,C_default,0.04,13
2022-03-31,C_default,0.04,13
2022-04-29,C_default,0.04,13
2022-05-31,C_default,0.0,13
2022-06-30,C_default,0.0,13
2022-07-29,C_default,0.04,13
2022-08-31,C_default,0.04,13
2022-09-30,C_default,0.0,13
2022-10-31,C_default,0.0,13
2022-11-30,C_default,0.0,13
2022-12-30,C_default,0.0,13
2023-01-31,C_default,0.04,13
2023-02-28,C_default,0.0,13
2023-03-31,C_default,0.0,13
2023-04-28,C_default,0.0,13
2023-05-31,C_default,0.0,13
2023-06-30,C_default,0.0,13
2023-07-31,C_default,0.0,13
2023-08-31,C_default,0.13043478260869565,13
2023-09-29,C_default,0.0,13
2023-10-31,C_default,0.04,13
2023-11-30,C_default,0.08333333333333333,13
2023-12-29,C_default,0.0,13
2024-01-31,C_default,0.04,13
2024-02-29,C_default,0.0,13
2024-03-28,C_default,0.0,13
2024-04-30,C_default,0.0,13
2024-05-31,C_default,0.0,13
2024-06-28,C_default,0.04,13
2024-07-31,C_default,0.0,13
2024-08-30,C_default,0.0,13
2024-09-30,C_default,0.04,13
2024-10-31,C_default,0.0,13
2024-11-29,C_default,0.08333333333333333,13
2024-12-31,C_default,0.04,13
2020-01-31,C_stable,,13
2020-02-28,C_stable,0.0,13
2020-03-31,C_stable,0.0,13
2020-04-30,C_stable,0.04,13
2020-05-29,C_stable,0.04,13
2020-06-30,C_stable,0.0,13
2020-07-31,C_stable,0.0,13
2020-08-31,C_stable,0.04,13
2020-09-30,C_stable,0.04,13
2020-10-30,C_stable,0.0,13
2020-11-30,C_stable,0.04,13
2020-12-31,C_stable,0.04,13
2021-01-29,C_stable,0.04,13
2021-02-26,C_stable,0.04,13
2021-03-31,C_stable,0.04,13
2021-04-30,C_stable,0.04,13
2021-05-28,C_stable,0.0,13
2021-06-30,C_stable,0.0,13
2021-07-30,C_stable,0.04,13
2021-08-31,C_stable,0.04,13
2021-09-30,C_stable,0.0,13
2021-10-29,C_stable,0.08333333333333333,13
2021-11-30,C_stable,0.08333333333333333,13
2021-12-31,C_stable,0.0,13
2022-01-31,C_stable,0.08333333333333333,13
2022-02-28,C_stable,0.04,13
2022-03-31,C_stable,0.0,13
2022-04-29,C_stable,0.0,13
2022-05-31,C_stable,0.0,13
2022-06-30,C_stable,0.0,13
2022-07-29,C_stable,0.0,13
2022-08-31,C_stable,0.08333333333333333,13
2022-09-30,C_stable,0.0,13
2022-10-31,C_stable,0.0,13
2022-11-30,C_stable,0.0,13
2022-12-30,C_stable,0.0,13
2023-01-31,C_stable,0.0,13
2023-02-28,C_stable,0.0,13
2023-03-31,C_stable,0.08333333333333333,13
2023-04-28,C_stable,0.0,13
2023-05-31,C_stable,0.0,13
2023-06-30,C_stable,0.04,13
2023-07-31,C_stable,0.0,13
2023-08-31,C_stable,0.13043478260869565,13
2023-09-29,C_stable,0.0,13
2023-10-31,C_stable,0.0,13
2023-11-30,C_stable,0.08333333333333333,13
2023-12-29,C_stable,0.0,13
2024-01-31,C_stable,0.04,13
2024-02-29,C_stable,0.0,13
2024-03-28,C_stable,0.0,13
2024-04-30,C_stable,0.0,13
2024-05-31,C_stable,0.04,13
2024-06-28,C_stable,0.0,13
2024-07-31,C_stable,0.0,13
2024-08-30,C_stable,0.08333333333333333,13
2024-09-30,C_stable,0.0,13
2024-10-31,C_stable,0.0,13
2024-11-29,C_stable,0.0,13
2024-12-31,C_stable,0.0,13
